#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-27/I20-1079-27.sam.bz2 --bowtie2out Metaphlan/I20-1079-27/I20-1079-27.bowtie2 --output_file Metaphlan/I20-1079-27/I20-1079-27.tsv --sample_id_key I20-1079-27 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-27	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:48155222
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.79468	13.66841	48148566
k__Viruses	10239	1.20532	0.16676	6656
k__Bacteria|p__Actinobacteria	2|201174	47.35582	6.55176	14250106
k__Bacteria|p__Proteobacteria	2|1224	38.59315	5.33943	29454898
k__Bacteria|p__Firmicutes	2|1239	12.83145	1.77525	4429155
k__Viruses|p__Viruses_unclassified	10239|	1.20532	0.16676	6656
k__Bacteria|p__Chloroflexi	2|200795	0.01265	0.00175	13643
k__Bacteria|p__Tenericutes	2|544448	0.00113	0.00016	248
k__Bacteria|p__Planctomycetes	2|203682	0.00049	7e-05	516
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	47.17184	6.5263	14192920
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	38.50773	5.32761	29426708
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	8.38114	1.15954	2550157
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	3.07321	0.42518	1284352
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.24632	0.17243	555819
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.20532	0.16676	6656
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.17647	0.02441	54780
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.13078	0.01809	38827
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.08534	0.01181	28063
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01265	0.00175	13643
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00691	0.00096	2134
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00113	0.00016	248
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.0006	8e-05	272
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00049	7e-05	516
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	8e-05	1e-05	127
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	47.1584	6.52444	14188477
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	38.3374	5.30404	29340311
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	8.30779	1.1494	2529664
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	3.07321	0.42518	1284352
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.24632	0.17243	555819
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.17572	0.02431	54523
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.13078	0.01809	38827
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.10962	0.01517	45862
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.08534	0.01181	28063
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.07335	0.01015	20493
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.0602	0.00833	40331
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.01344	0.00186	4443
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.01265	0.00175	13643
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.00684	0.00095	2089
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00113	0.00016	248
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00074	0.0001	257
