#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-03/I20-1079-03.sam.bz2 --bowtie2out Metaphlan/I20-1079-03/I20-1079-03.bowtie2 --output_file Metaphlan/I20-1079-03/I20-1079-03.tsv --sample_id_key I20-1079-03 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-03	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:38181304
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	94.32114	8.45917	38160829
k__Viruses	10239	5.67886	0.50931	20475
k__Bacteria|p__Proteobacteria	2|1224	57.38258	5.14635	27149543
k__Bacteria|p__Firmicutes	2|1239	36.89063	3.30853	11002522
k__Viruses|p__Viruses_unclassified	10239|	5.67886	0.50931	20475
k__Bacteria|p__Actinobacteria	2|201174	0.03302	0.00296	6322
k__Bacteria|p__Tenericutes	2|544448	0.01434	0.00129	2040
k__Bacteria|p__Chloroflexi	2|200795	0.00058	5e-05	402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	57.35474	5.14385	27143610
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	13.60474	1.22014	3515415
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	12.46254	1.1177	4370137
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.50715	0.76296	2592070
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	5.67886	0.50931	20475
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.1912	0.19652	500961
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12501	0.01121	23939
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.03062	0.00275	5848
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02784	0.0025	5933
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01434	0.00129	2040
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.0024	0.00022	474
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00058	5e-05	402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	57.03814	5.11545	27046428
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	13.60474	1.22014	3515415
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	12.46254	1.1177	4370137
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	8.50715	0.76296	2592070
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	3.09298	0.27739	11753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.98889	0.17837	466018
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.2472	0.02217	67040
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.20231	0.01814	34943
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.12501	0.01121	23939
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.0694	0.00622	30142
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02784	0.0025	5933
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.02462	0.00221	4699
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.01434	0.00129	2040
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.0046	0.00041	946
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.0024	0.00022	474
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.00139	0.00012	203
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00058	5e-05	402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	56.68357	5.08366	26885237
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	13.60474	1.22014	3515415
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	12.46254	1.1177	4370137
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.45048	0.66819	2196871
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	3.09298	0.27739	11753
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	1.00565	0.09019	377023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.99606	0.08933	214533
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.52594	0.04717	142273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.35457	0.0318	161191
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.29025	0.02603	53949
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.27504	0.02467	943
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.2472	0.02217	67040
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0.19315	0.01732	32732
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.17665	0.01584	55263
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.12501	0.01121	23939
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	2|1224|1236|135613|72276	0.0694	0.00622	30142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.0496	0.00445	17648
