#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-48/I20-1079-48.sam.bz2 --bowtie2out Metaphlan/I20-1079-48/I20-1079-48.bowtie2 --output_file Metaphlan/I20-1079-48/I20-1079-48.tsv --sample_id_key I20-1079-48 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-48	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:25814405
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.04716	9.98486	25801266
k__Viruses	10239	3.95284	0.41093	13139
k__Bacteria|p__Actinobacteria	2|201174	71.64558	7.44812	16701556
k__Bacteria|p__Firmicutes	2|1239	12.89794	1.34084	3009077
k__Bacteria|p__Proteobacteria	2|1224	11.47126	1.19253	6067488
k__Viruses|p__Viruses_unclassified	10239|	3.95284	0.41093	13139
k__Bacteria|p__Chloroflexi	2|200795	0.02321	0.00241	18818
k__Bacteria|p__Tenericutes	2|544448	0.0047	0.00049	775
k__Bacteria|p__Planctomycetes	2|203682	0.00447	0.00046	3552
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	71.37162	7.41964	16619328
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	11.47006	1.1924	6067193
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	10.91992	1.13521	2413869
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	3.95284	0.41093	13139
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.97802	0.20563	595208
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.26338	0.02738	79799
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.02321	0.00241	18818
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.01059	0.0011	2429
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.0047	0.00049	775
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00447	0.00046	3552
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0012	0.00012	295
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	71.34069	7.41643	16611592
