#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-16/I20-1079-16.sam.bz2 --bowtie2out Metaphlan/I20-1079-16/I20-1079-16.bowtie2 --output_file Metaphlan/I20-1079-16/I20-1079-16.tsv --sample_id_key I20-1079-16 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-16	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:67407793
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	70.89985	13.0428	66913263
k__Viruses	10239	29.10015	5.35329	494530
k__Bacteria|p__Proteobacteria	2|1224	55.29466	10.17205	56379949
k__Viruses|p__Viruses_unclassified	10239|	29.10015	5.35329	494530
k__Bacteria|p__Firmicutes	2|1239	15.57009	2.86429	10507834
k__Bacteria|p__Tenericutes	2|544448	0.01602	0.00295	4678
k__Bacteria|p__Bacteroidetes	2|976	0.01291	0.00237	13367
k__Bacteria|p__Chloroflexi	2|200795	0.00481	0.00088	6895
k__Bacteria|p__Actinobacteria	2|201174	0.00137	0.00025	540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	55.18954	10.15272	56333986
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	29.10015	5.35329	494530
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	10.8998	2.00514	7496567
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.71675	0.49977	2116489
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.6803	0.30911	787604
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.27323	0.05026	107174
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.10512	0.01934	45963
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01602	0.00295	4678
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.01291	0.00237	13367
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00481	0.00088	6895
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.00137	0.00025	540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	54.93366	10.10564	56166638
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	10.8998	2.00514	7496567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.71675	0.49977	2116489
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.58935	0.29238	754869
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.27323	0.05026	107174
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.18112	0.03332	100755
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.10512	0.01934	45963
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.09095	0.01673	32735
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.07475	0.01375	66593
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.01602	0.00295	4678
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.01291	0.00237	13367
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00481	0.00088	6895
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00106	0.0002	448
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.00031	6e-05	92
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	54.62277	10.04845	55876723
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	28.99652	5.33423	493603
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	10.8998	2.00514	7496567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	2.33438	0.42943	1907350
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.99978	0.18392	438758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.38236	0.07034	209139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.3109	0.05719	289915
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.30718	0.05651	170448
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.27323	0.05026	107174
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.18112	0.03332	100755
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.14865	0.02735	58493
