#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-01/I20-1079-01.sam.bz2 --bowtie2out Metaphlan/I20-1079-01/I20-1079-01.bowtie2 --output_file Metaphlan/I20-1079-01/I20-1079-01.tsv --sample_id_key I20-1079-01 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-01	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:30584122
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	79.00331	8.97064	30462012
k__Viruses	10239	20.99669	2.38412	122110
k__Bacteria|p__Actinobacteria	2|201174	46.39113	5.2676	11827305
k__Bacteria|p__Proteobacteria	2|1224	22.07829	2.50694	14318237
k__Viruses|p__Viruses_unclassified	10239|	20.99669	2.38412	122110
k__Bacteria|p__Firmicutes	2|1239	10.53008	1.19567	4313229
k__Bacteria|p__Chloroflexi	2|200795	0.00204	0.00023	1806
k__Bacteria|p__Planctomycetes	2|203682	0.00137	0.00016	1363
k__Bacteria|p__Tenericutes	2|544448	0.0004	5e-05	72
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	46.28902	5.25601	11801738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	21.91769	2.4887	14274847
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	20.99669	2.38412	122110
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.35353	0.83498	2395143
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.9571	0.33577	1864454
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.21744	0.02469	52762
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.16059	0.01823	43390
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.10103	0.01147	25297
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00204	0.00023	1806
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00201	0.00023	870
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00137	0.00016	1363
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00108	0.00012	270
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.0004	5e-05	72
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	46.15448	5.24073	11765359
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	21.66213	2.45968	14177090
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.28299	0.82697	2377953
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.9571	0.33577	1864454
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.21744	0.02469	52762
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.20247	0.02299	69518
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.16059	0.01823	43390
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.13314	0.01512	36015
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.09126	0.01036	22528
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.07054	0.00801	17190
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.04883	0.00554	26848
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.01106	0.00126	57
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00977	0.00111	2769
